,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
1333,2017-En-21736,"My wedding is in two weeks and I'm actually really nervous. I just want things to go right, I don't want to get sick or get canceled ;;",fear,3: high amount of fear can be inferred,2
193,2017-En-22217,Why does having anxiety drain some much of your energy #anxiety #sotired #needtosleepforhours,fear,3: high amount of fear can be inferred,2
254,2018-En-02378,How sick must someone be that they wish to 'punish' someone for not being their friend?  #insecure #lonely #miserable #vengeful #RHOC,fear,2: moderate amount of fear can be inferred,1
1759,2017-En-21943,"@MannersAboveAll *laughs louder this time, shaking my head* That was really cheesy, wasn't it?",fear,0: no fear can be inferred,0
509,2017-En-20281,"Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is #shocking",fear,1: low amount of fear can be inferred,1
47,2018-En-03275,#Worry never robs tomorrow of its #sorrow; it only saps today of its #strength - A. J. Crown #faith #positive #motivation,fear,0: no fear can be inferred,0
1630,2017-En-21542,"I walked 3.4 miles today, the most I've walked since I got #rhabdo. Going back to work tomorrow.. here's to hoping it goes okay #nervous",fear,3: high amount of fear can be inferred,2
293,2018-En-01537,You take a sharp right and stumble on a slavering phoenix whose see-through negligée and empty eye sockets will haunt your dreams forever.,fear,1: low amount of fear can be inferred,1
1498,2017-En-20750,Check out @VovimPrgel - From Scotland #gamer #YouTuber #vlogger #designer #animator #artist. TY for following The Wake #horror #horrorfilm,fear,0: no fear can be inferred,0
46,2017-En-21785,@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,fear,3: high amount of fear can be inferred,2
663,2017-En-21786,@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ #fearful,fear,3: high amount of fear can be inferred,2
639,2017-En-21486,Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression,fear,3: high amount of fear can be inferred,2
383,2017-En-21606,Ugh.. Why am I not asleep yet. Fml. I think low key I'm afraid I might miss something. #SleeplessNight #sleepy #restless,fear,3: high amount of fear can be inferred,2
480,2017-En-20051,"#ObamaLegacy - weekly #riots and #terror attacks, &gt;400k dead #Syrians, #Jews fleeing #persecution in Europe, #Christian #genocide in ME.....",fear,3: high amount of fear can be inferred,2
87,2018-En-00709,Man I feel like crap today 😰,fear,2: moderate amount of fear can be inferred,1
123,2018-En-02348,@ShiraChess @UMinnPress Congratulations on your book. It looks tremendous!,fear,0: no fear can be inferred,0
1289,2017-En-21543,"I walked 3.4 miles today, the most I've walked since I got #rhabdo. Going back to work tomorrow.. here's to hoping it goes okay ",fear,0: no fear can be inferred,0
1271,2017-En-22024,"Goodbye everyone, tremendous #LTHEchat tonight",fear,0: no fear can be inferred,0
895,2017-En-20014,Job interview in the afternoon #nervous #ek,fear,3: high amount of fear can be inferred,2
1117,2017-En-20068,im literally shaking bc im nervous and bc its fucking cold oh how i love life,fear,3: high amount of fear can be inferred,2
290,2018-En-02517,United Airline at Newark needs more Kiosks so that people won't miss their cut off time.  And hire more ppl too.  #horrible,fear,1: low amount of fear can be inferred,1
1069,2017-En-20006,I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM #fear #SingleGirlProblems,fear,3: high amount of fear can be inferred,2
794,2017-En-21339,I hate freaking out and ruining things. #anxiety,fear,3: high amount of fear can be inferred,2
2054,2017-En-21877,T minus 10 hours till I meet with a designer who wants me to model his new fashion line 😬😶 #nervous!!!,fear,3: high amount of fear can be inferred,2
843,2017-En-20121,#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria  #race #riots #GasCrisis2016 #NoDAPL #rape,fear,2: moderate amount of fear can be inferred,1
1071,2017-En-21241,Tweeting from the sporadic wifi on the tube ,fear,0: no fear can be inferred,0
135,2018-En-00688,@AwardsDaily Looks that way.  I don't want to see how Q is going to handle Tate murder.  #shudder,fear,2: moderate amount of fear can be inferred,1
1347,2017-En-21658,If I could turn anxiety off--I would. #nooneunderstands ,fear,3: high amount of fear can be inferred,2
442,2017-En-21555,First College Math Test tomorrow #nervous,fear,3: high amount of fear can be inferred,2
592,2017-En-21759,@nytimes I'm trying to imagine the first response of a President Trump to an act of terror. The thought itself terrorizes me.,fear,3: high amount of fear can be inferred,2
2138,2017-En-21195,"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear,0: no fear can be inferred,0
999,2017-En-21172,@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,fear,0: no fear can be inferred,0
1557,2017-En-21618,@Chic_Happens_ @Sean_Okeeffe1 @royalmusing I dread the comparisons to Queen Máxima. Guarantee I will lose followers when that happens.,fear,1: low amount of fear can be inferred,1
192,2017-En-21327,"Shame on you @SkyNews showing an elephant being hunted and killed, ",fear,2: moderate amount of fear can be inferred,1
2051,2017-En-20219,And here we go again 😓 #restless,fear,1: low amount of fear can be inferred,1
1949,2017-En-21004,How in the world did Nicole beat Paul?!?! #terrible #bb18 #BBFinale What was the jury thinking?? 😳😳😳,fear,0: no fear can be inferred,0
2207,2017-En-20003,I feel like I am drowning. #depression  #falure #worthless,fear,3: high amount of fear can be inferred,2
656,2017-En-21882,@Roger_Dagenham Aye. There's a brief window in both morning and afternoon otherwise just horrific until late evening.,fear,0: no fear can be inferred,0
1799,2017-En-20004,This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened,fear,3: high amount of fear can be inferred,2
2173,2017-En-20246,Some questions you get on Twitter make you want to despair. We've been so battered. We complain but aren't convinced things could be better.,fear,1: low amount of fear can be inferred,1
347,2018-En-01428,"I think 'Sleep' is my favorite from How did we get so dark?, maybe because I'm insomniac",fear,0: no fear can be inferred,0
85,2017-En-20650,@aidankerrpol I think you should do. Get the fashion police involved. #shocking,fear,0: no fear can be inferred,0
44,2017-En-21902,Has anyone else had a bad experience with Poundstretcher? #nightmare firm,fear,2: moderate amount of fear can be inferred,1
540,2017-En-21369,I stepped into the shower and my spidey senses tangled. I immediately looked up and saw a spider directly above my head. #terror,fear,3: high amount of fear can be inferred,2
1093,2017-En-21512,Why are all of these people leaving Blizzard??? D: It's giving me a frighten!,fear,2: moderate amount of fear can be inferred,1
2232,2017-En-20842,"When I walk in darkness of despondency, Sc.verses I've memorized shine a light in my heart. Ex: Lam 3:22-25 #despondency",fear,0: no fear can be inferred,0
294,2018-En-03361,if not then #teamchristine bc all tana has done is provoke her by tweeting shady shit and trying to be a hard bitch begging for a fight,fear,1: low amount of fear can be inferred,1
525,2017-En-20154,im like 'this is better' in the moment cuz i panic and then later its so obviously not better. at every opportunity i choose to make it seem,fear,2: moderate amount of fear can be inferred,1
1165,2017-En-20192,"Swear to God don't get a smart meter from your power company, 8 months of daft bills, 6 visits from British Gas #nightmare #stressed",fear,2: moderate amount of fear can be inferred,1
1326,2017-En-21720,@jk_rowling @Riverfeather207 Donald Trump in the White House #shudder,fear,3: high amount of fear can be inferred,2
2083,2017-En-21527,"Does this blow your mind as much as it blew mine, or did I just sexually harass someone? #WHOA #Mindblown #huh #setback #fright #madashell 😂",fear,1: low amount of fear can be inferred,1
257,2017-En-22241,i met with an employment specialist this morning &amp; she basically told me its unlikely i'll get a job because i clearly have too much anxiety,fear,3: high amount of fear can be inferred,2
624,2017-En-21301,I #cry out #fear to clear a #path\nBut my Voice seems 2 silent 2 chase a #rat\nAm just indoor #expecting to open door\na #weak wise #fool I am,fear,2: moderate amount of fear can be inferred,1
987,2017-En-20667,nadia bully me and ill expose you,fear,0: no fear can be inferred,0
38,2018-En-00749,#anxious don't know why ................. #worry 😶 slowly going #mad hahahahahahahahaha,fear,2: moderate amount of fear can be inferred,1
1083,2017-En-21659,Sixth Form: see you at 8:30 in the morning 🎭 #revolting children #yr7 #assembly 🎭,fear,0: no fear can be inferred,0
1517,2017-En-20000,I feel like I am drowning. #depression #anxiety #falure #worthless,fear,3: high amount of fear can be inferred,2
1455,2017-En-22065,The anxiety I have right now😭😭😭,fear,3: high amount of fear can be inferred,2
1921,2017-En-21976,@The_East_End And the air raid alarm was actually false.  There was no attack inbound at the time.,fear,0: no fear can be inferred,0
1230,2017-En-20021,"Ignored broken tooth for so long, now have abscess. Need dentist but #fear makes it hard for me to go..45 and still can't go to dentist",fear,3: high amount of fear can be inferred,2
2124,2017-En-21999,Tho we haven't talked Jeff but the news is so sad and shocking. R.I.P Jeffrey,fear,3: high amount of fear can be inferred,2
238,2018-En-03686,@MikeAndMike @Buster_ESPN if you get time.. @Orioles buyers it sellers or what are we going to do!!?! #panic,fear,2: moderate amount of fear can be inferred,1
1418,2017-En-20183,"The more videos @PanicAtTheDisco  post, the more i am convinced i might should not have done that #fear #Brendonati",fear,2: moderate amount of fear can be inferred,1
15,2017-En-22248,I'm shaking now.,fear,3: high amount of fear can be inferred,2
189,2018-En-00522,@IH1525 @TiIImxn Literally I'm in awe,fear,0: no fear can be inferred,0
819,2017-En-20189,"bad news fam, life is still hard and awful #depression  #atleastIhaveBuffy",fear,2: moderate amount of fear can be inferred,1
1051,2017-En-22031,😭 a #nightmare just woke me up 😭,fear,3: high amount of fear can be inferred,2
1853,2017-En-20273,"@latenightdaryun pfft, as if anyone undergoing the constant ongoing horror of sapient consciousness has any trust in themself anyway",fear,1: low amount of fear can be inferred,1
338,2017-En-20083,Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel ,fear,3: high amount of fear can be inferred,2
589,2017-En-21190,Watching It Follows.  This is a super freaky movie.  #scary,fear,2: moderate amount of fear can be inferred,1
234,2017-En-20612,"@eileen_davidson on RHOBH, you just do not want to assume an affair while you were married so you criticize @LisaVanderpump! ",fear,0: no fear can be inferred,0
2081,2017-En-22176,@_miasienna ITS ALREADY FUCKING 1 ... Ok well I love having panic attacks in the afternoon,fear,3: high amount of fear can be inferred,2
484,2017-En-20582,It is more shameful to distrust our friends than to be deceived by them,fear,0: no fear can be inferred,0
699,2017-En-21154,"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success",fear,0: no fear can be inferred,0
1222,2017-En-20691,honestly all my friends do bnc i mean it and i am feeling #terrible hahaha,fear,0: no fear can be inferred,0
103,2017-En-21599,@JamieSmart93 that was shocking!,fear,0: no fear can be inferred,0
1815,2017-En-20165,@p4pictures it would be great but what if the card crashes 😱. It's happened to me twice ,fear,2: moderate amount of fear can be inferred,1
204,2017-En-20035,I was literally shaking getting the EKG done lol 🙄,fear,3: high amount of fear can be inferred,2
943,2017-En-21228,Northampton are awful 🙈,fear,0: no fear can be inferred,0
1079,2017-En-22225,World wants #peace from #terrorism #WorldPeaceDay #internationaldayofpeace,fear,0: no fear can be inferred,0
1810,2017-En-20833,I just want to say: social media isn’t here to #bully that has to be #stopbullying ! Please be kind to eaxh other! #lovewins,fear,0: no fear can be inferred,0
221,2017-En-20141,Tomorrow is the day I cut and dye my hair! 😳 #nervous #excited,fear,2: moderate amount of fear can be inferred,1
1793,2017-En-22243,Seeing huge or really full  backpacks on people fills me with anxiety,fear,3: high amount of fear can be inferred,2
122,2017-En-21265,US you need to band together not apart #nevertrump he promotes hatred and fuels ,fear,1: low amount of fear can be inferred,1
1468,2017-En-20081,mm nothing like a good old fashioned panic induced cry on your living room floor,fear,3: high amount of fear can be inferred,2
2142,2017-En-20148,I absolutely love having an anxiety attack halfway through a family meal,fear,2: moderate amount of fear can be inferred,1
1885,2017-En-20032,"Being stuck in the roof of your house provides amazing view but sheer terror of falling down, kinda like life",fear,3: high amount of fear can be inferred,2
1967,2017-En-20509,i've been rooting for him since the beginning #anxiety #BB18,fear,0: no fear can be inferred,0
1425,2017-En-21321,I'm going to get the weirdest thank you note--or worse--total silence and no acknowledgement. #anxiety,fear,3: high amount of fear can be inferred,2
191,2017-En-20830,@rkuuleiq Fear is best/beast product of God/s. :) #aTheism #theism #biBle  #christianity #hell #heaven #purgatory #psychology #jesus,fear,0: no fear can be inferred,0
287,2017-En-20116,How do you ever stop being #afraid of someone that you live with,fear,2: moderate amount of fear can be inferred,1
868,2017-En-21924,"I'm not afraid to love, I'm afraid of not being loved back.",fear,3: high amount of fear can be inferred,2
830,2017-En-21745,@Justin_Gau @JamesMelville You certainly wouldn't catch me with the multitude. #ghastly,fear,0: no fear can be inferred,0
993,2017-En-20322,@jndtech horrible.,fear,1: low amount of fear can be inferred,1
136,2018-En-00207,"5 goals in 87 appearances last season between McKay, Holt and Windass! Simply is horrific! Get midfield balance sorted and team will fire!",fear,0: no fear can be inferred,0
280,2017-En-21492,#ArchangelSummit @sethgodin  Anyone can be brave but you just have to last 5 mins longer than everyone else. #leadership ,fear,0: no fear can be inferred,0
2148,2017-En-21578,"That heart pounding, goosebumping nightmare experience! 😨 Woke up 3:00 in the morning with that scary, bad dream of mine. 😰",fear,3: high amount of fear can be inferred,2
210,2018-En-03925,@157Gale @GatorDave_SEC I'd be thrilled if he committed but nervous the whole time until NSD. Kid being from Cali makes me nervous.,fear,2: moderate amount of fear can be inferred,1
506,2017-En-20365,#Muslims are the principle victims of #terrorism. More Muslims are dying at the hands of these #terrorists than anyone else. #YounusAlGohar,fear,1: low amount of fear can be inferred,1
520,2017-En-21281,@littlepieces Customer services got involved and eventually completely wash their hands of it.  #dreamornightmare,fear,0: no fear can be inferred,0
1797,2017-En-20026,Breaking out in hives for the first time since college finals. #anxiety sucks,fear,3: high amount of fear can be inferred,2
2009,2017-En-21801,to shake and my mouth was chattering and I couldn't take right because all of my body was trembling so I went outside,fear,3: high amount of fear can be inferred,2
1922,2017-En-21259,Be #afraid of the #quiet ones they are the ones who actually #think.,fear,0: no fear can be inferred,0
1226,2017-En-20125,The focal points of war lie in #terrorism and the #UN needs to address #violentextremism,fear,2: moderate amount of fear can be inferred,1
1991,2017-En-20015,I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me ,fear,3: high amount of fear can be inferred,2
2131,2017-En-21014,"Yo Yo Yo,my name is #DarthVader \nI feel like I need to puff on my inhaler (I'm no rapper but that was some sick bars)  #bars #rap",fear,0: no fear can be inferred,0
761,2017-En-21422,@rihaBabyJ Aw no problem. I just felt like speaking because I felt the same before and I want you to overcome it and not be discouraged. :),fear,0: no fear can be inferred,0
11,2018-En-02647,Today is gonna be terrible I can feel it,fear,2: moderate amount of fear can be inferred,1
50,2017-En-21907,"As #life gets longer, #awful feels #softer, well it #feels pretty soft to me. #modestmouse @modestmouseband",fear,0: no fear can be inferred,0
1148,2017-En-20070,@BigBossPeltonen \nLikewise #death #cutting #despair,fear,3: high amount of fear can be inferred,2
1753,2017-En-20012,"Im not a #nervouswreck, Im a #nervous #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",fear,3: high amount of fear can be inferred,2
1549,2017-En-21732,On the last episode of #MakingAMurderer poor Brendan glad they #appeal it #shocking #crime #documentary #reallife,fear,0: no fear can be inferred,0
1470,2017-En-21684,@InfluensterVox @irontekfit I love my #IronTekFit protein shake in the morning before yoga! #ESVoxbox,fear,0: no fear can be inferred,0
1180,2017-En-21619,@lhbrown1990 @Jimcummingsacme I'm afraid to look!,fear,3: high amount of fear can be inferred,2
2188,2017-En-20011,My #anxiety is rising tonight and I'm not sure why. Sometimes I wonder if I'm a magnet for any free-floating anxiety in the universe.,fear,3: high amount of fear can be inferred,2
222,2017-En-21601,First day of fall quarter tomorrow.  😰 #nervous #excited #anxious #blargh,fear,2: moderate amount of fear can be inferred,1
2,2017-En-21532,“What worries you masters you.” - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious,fear,1: low amount of fear can be inferred,1
2202,2017-En-20763,@dc_mma @ChampionsFight think shes afraid to fight Holly. One can only imagine what goes through her head when she thinks of Cyborg #terror,fear,0: no fear can be inferred,0
443,2017-En-20024,"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people? #anxiety #recluse  #issues",fear,3: high amount of fear can be inferred,2
750,2017-En-21522,There is nothing like being in the shower when the power goes out 😳 #creepy ,fear,3: high amount of fear can be inferred,2
912,2017-En-20074,@OutdoorLoverz is this a bridge if I have to drive on such I will stop breathing Yooo I can't I'm to afraid,fear,3: high amount of fear can be inferred,2
584,2017-En-22171,I'm so over having anxiety,fear,3: high amount of fear can be inferred,2
251,2018-En-01568,@silverstein 13th time seeing you guys today and you cancel the meet and greet because of the storm. We're all soaked.. 😡 #dissapointed,fear,1: low amount of fear can be inferred,1
1544,2017-En-21550,This is awful,fear,2: moderate amount of fear can be inferred,1
1628,2017-En-20311,"me, myself, and I \n #horror movie alone again tonight maybe a #zombie would eat me and finish my life game already - i want #gameover",fear,1: low amount of fear can be inferred,1
915,2017-En-20059,I Don't know what make #Pakistan fear more their #terrorist or their #terrorism  #TerrorStatePak,fear,3: high amount of fear can be inferred,2
96,2018-En-03247,@fadedmerrell @MerrellMilitary @HibaDahibi HAHAHA ok ill back away #coy,fear,0: no fear can be inferred,0
1618,2017-En-20039,@RosieBalls I fear for the future of mankind,fear,3: high amount of fear can be inferred,2
157,2018-En-01143,My best friends driving for the first time with me in the car #terrifying,fear,3: high amount of fear can be inferred,2
2193,2017-En-21849,🙃 back to school aka back to social anxiety 🙃,fear,2: moderate amount of fear can be inferred,1
1278,2017-En-20040,First day of college feeling nervous,fear,3: high amount of fear can be inferred,2
279,2018-En-02025,When did it all started? All these depression &amp; anxiety shits?All these suicide thoughts?All of these bad thoughts thts hugging me at night?,fear,3: high amount of fear can be inferred,2
56,2017-En-22154,"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",fear,1: low amount of fear can be inferred,1
202,2018-En-00980,I feel intimidated,fear,2: moderate amount of fear can be inferred,1
135,2017-En-20250,@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country).  #wakeupcall,fear,1: low amount of fear can be inferred,1
1209,2017-En-21936,"Goodmorning fam, do you know that your critical condition pave way for your miracle, so #dont #worry #be #happy",fear,0: no fear can be inferred,0
81,2018-En-04347,I'm back on Twitter! #madden #madden18 #maddenmobile #ea #nfl #espn #packers,fear,0: no fear can be inferred,0
1984,2017-En-21452,@CapehartJ agree!  Those latest polls #alarming,fear,2: moderate amount of fear can be inferred,1
2082,2017-En-22060,but throughout that entire thing I was shaking rlly bad and my heart was racing and I was almost in tears lmao (thanks mr.*****),fear,3: high amount of fear can be inferred,2
312,2018-En-04093,@NBCNews @HallieJackson @KeirSimmons Seems legit. I always flinch right before I tell the truth.,fear,0: no fear can be inferred,0
638,2017-En-21870,"@BBTooms This is perfect example of why what paul said about her, was right.  One of the most ignorant competitors ive seen. #bully #c$%t",fear,1: low amount of fear can be inferred,1
22,2018-En-00135,And I'm really pissed the fuck off because I do a good job of keeping my kid well because I don't like to see her sick and sad.,fear,1: low amount of fear can be inferred,1
1823,2017-En-21407,On the way to Laser Vista ... lens implantation ... #LaserVista #nervous #happy,fear,1: low amount of fear can be inferred,1
1067,2017-En-21517,Come on girl shake that ass for me,fear,0: no fear can be inferred,0
267,2017-En-21747,❤︎I... I can't! I'm scared! Bees terrify me.,fear,3: high amount of fear can be inferred,2
1156,2017-En-21012,"And I would advise that everyone wait to watch @KevinCanWaitCBS ,or actually don't wait, just don't even watch it because it is ",fear,0: no fear can be inferred,0
325,2018-En-00391,"So me and my mom were talking about highschool, I'm shy so she said that she thinks I'm gonna get bullied😒 #shy #me #mylife #moms #bullying",fear,2: moderate amount of fear can be inferred,1
1572,2017-En-21944,.@morningmika &amp; her @HillaryClinton Super PAC @Morning_Joe @MSNBC in full #panic mode over @realDonaldTrump #momentum!\n\n#TrumpPence16 #MAGA,fear,2: moderate amount of fear can be inferred,1
1068,2017-En-20020,"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair",fear,3: high amount of fear can be inferred,2
218,2018-En-01667,A trip to the dentist never gets any easier!! #nervous,fear,3: high amount of fear can be inferred,2
996,2017-En-21257,#Matthew 25; 1-13\nCould somebody shoot a #video about it?\nIt could be 1 of those #horror videos but in the same time turning many 2 #Christ,fear,0: no fear can be inferred,0
205,2018-En-02924,"Stage 10 horror was reminiscent of Rio Oylmpics...route horror, weather horror, crash horror, abandon horrors.",fear,3: high amount of fear can be inferred,2
146,2017-En-22143,I'm so nervous 😭,fear,3: high amount of fear can be inferred,2
766,2017-En-21126,@Zen1dfabflake You are all our angelic comrades! #flutter,fear,0: no fear can be inferred,0
2112,2017-En-21412,this girl at my new school is so pretty i am ,fear,0: no fear can be inferred,0
361,2018-En-00566,anxiety pays off,fear,2: moderate amount of fear can be inferred,1
601,2017-En-21884,Mary Berry and her reign of terror,fear,2: moderate amount of fear can be inferred,1
1398,2017-En-20046,@corruptmelon now im feeling the #worry,fear,3: high amount of fear can be inferred,2
710,2017-En-20354,Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it ,fear,1: low amount of fear can be inferred,1
971,2017-En-20036,@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific,fear,3: high amount of fear can be inferred,2
1506,2017-En-21055,At the end of the day I know that my kids will never worry about me leaving them 💕,fear,0: no fear can be inferred,0
2120,2017-En-20145,searching for what pro and academic writers have to say about #writing #anxiety and #writersblock,fear,2: moderate amount of fear can be inferred,1
349,2017-En-20928,Halloween party coming soon! #turnt #ruinT #lit #firesauce #hotsauce #mildsauce #getsauced #champagnedreams #scary #haunt #kittens,fear,0: no fear can be inferred,0
881,2017-En-20626,"@troyesivan I'm eating sushi, I'm shaking for you",fear,0: no fear can be inferred,0
462,2017-En-20082,r U scared to present in front of the class? severe anxiety... whats That r u sad sometimes?? go get ur depression checked out IMEDIATELY!!!,fear,3: high amount of fear can be inferred,2
2164,2017-En-22139,10 page script due Friday for class. Who said I could do this MFA thing? #panic #GradSchoolProblems #someonetelltinafeytohireme,fear,3: high amount of fear can be inferred,2
1769,2017-En-20559,"#ntfc mourinho is worried,  bringing Ibra  and Rushford on. ",fear,0: no fear can be inferred,0
622,2017-En-20069,I feel horrible. I have accounting today but physically and mentally am not okay 😪,fear,3: high amount of fear can be inferred,2
758,2017-En-20064,Saga: When all of your devices and teles fail just in time for bake off #panic #gbbo,fear,3: high amount of fear can be inferred,2
260,2017-En-20139,I thought the nausea and headaches had passed but lol I feel awful today,fear,2: moderate amount of fear can be inferred,1
818,2017-En-21987,"If children live with #ridicule, they learn to feel #shy",fear,0: no fear can be inferred,0
1771,2017-En-21338,@mar_de_palabras But I do think we need to experience a bit madness &amp; despair too. This is the stuff that makes us human.,fear,1: low amount of fear can be inferred,1
1642,2017-En-20178,my husband lost £800 when he booked an apartment through @Airbnb that didn't exist... @AirbnbHelp didn't care  #airbnbnightmare,fear,2: moderate amount of fear can be inferred,1
1973,2017-En-20025,Super shitting it about this tattoo #nervous,fear,3: high amount of fear can be inferred,2
2012,2017-En-20413,In dire need of a worship session to just let go of everything,fear,0: no fear can be inferred,0
1794,2017-En-20115,@excalibater I'm very shy irl and lately I feel like everyone's doing their own thing and I don't fit in anywhere and I feel lonely :(,fear,2: moderate amount of fear can be inferred,1
911,2017-En-20298,"@JennyPGR I worry about typos in any email to Simon, draft attached or not...",fear,1: low amount of fear can be inferred,1
253,2018-En-02354,So @Ryanair site crashes everytime I try to book - how do they help? Tell me there's nothing wrong &amp; hang up #furious #helpless @SimonCalder,fear,0: no fear can be inferred,0
226,2017-En-20076,I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 ,fear,3: high amount of fear can be inferred,2
1311,2017-En-20756,"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. #awful",fear,0: no fear can be inferred,0
1187,2017-En-21947,"Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain #anxiety #depression #pain",fear,3: high amount of fear can be inferred,2
1140,2017-En-21403,That moment of #panic when your zipper gets stuck when you're in the #bathroom and you realize the only way out of your jeans is #scissors,fear,3: high amount of fear can be inferred,2
940,2017-En-20362,"#internationaldayofpeace Want peace,prepare for war. Destroy terror states like Pakistan",fear,1: low amount of fear can be inferred,1
1979,2017-En-21705,"Hey @PapaJohnsUK I've been charged £40.24 on my credit card 4 an order which never arrived last Friday, any chance of a refund!! #nightmare",fear,1: low amount of fear can be inferred,1
1581,2017-En-22237,@qdoba omg I'm so slow bc my eng is not very well and my hands are shaking uhh help meee I'm like this lil chicken now 🐥#MoreisBetter,fear,2: moderate amount of fear can be inferred,1
955,2017-En-20150,"After #terror our leaders say, 'Don't jump to conclusions,' but [in matters of #racial unrest], they are silent. Why is that? @greggutfeld",fear,2: moderate amount of fear can be inferred,1
277,2018-En-01278,That said–due to passing the 50yr mark awhile ago–I know most of the #horrific damage to the #planet won't occur before my 'natural' #death.,fear,3: high amount of fear can be inferred,2
923,2017-En-20033,Just want Saturday to be over but then again I want to do good #LSAT #nervous,fear,3: high amount of fear can be inferred,2
2066,2017-En-21041,@RobdotThom @sulphurhoops in fact they need to start making all holidays! Maybe even e dry month pick a theme so we can have them all year,fear,0: no fear can be inferred,0
1874,2017-En-20435,@YahooCare data stolen in 2014 and only now do you tell us #shocking.,fear,0: no fear can be inferred,0
1388,2017-En-20091,She was so posh it frightened me. I'm still scared.,fear,3: high amount of fear can be inferred,2
1752,2017-En-20008,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible,fear,3: high amount of fear can be inferred,2
