,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
469,2017-En-41406,@rclemmons much #sadness and #heartbreak,sadness,3: high amount of sadness can be inferred,2
1179,2017-En-41006,Are you #serious that #fredsirieix lives in Peckham......South London's own #Love Guru(big up),sadness,0: no sadness can be inferred,0
728,2017-En-40025,"@TMobileHelp my service is down in Cleveland, OH. What's going on? #unhappy",sadness,3: high amount of sadness can be inferred,2
1112,2017-En-40575,So @JeffProbst those of us born in 85 have no generation! Where is the gen-less tribe! Ha! #survivor #lost soles,sadness,0: no sadness can be inferred,0
130,2017-En-40065,"so fucking sad when the person you love doesn't try fighting for your happiness, when you'd do anything for them.",sadness,3: high amount of sadness can be inferred,2
1010,2017-En-41144,"@devrajasmine If you change the dark images both look different, but both look like they are in a forest.",sadness,1: low amount of sadness can be inferred,1
1430,2017-En-40468,"@AdamAaronovich Well, there's no need to sulk. You can always request a song, you know.",sadness,1: low amount of sadness can be inferred,1
1111,2017-En-40308,@TVsCarlKinsella They're such garbage. Obviously I like that they suck but it's still grim to watch.,sadness,2: moderate amount of sadness can be inferred,1
235,2017-En-40217,I'll just have to #eat my way to #sobriety. This'll be a hell of a journey back to #sober,sadness,2: moderate amount of sadness can be inferred,1
1451,2017-En-40019,My heads still in Ibiza but my body is sat at me desk at work #depressing,sadness,3: high amount of sadness can be inferred,2
1284,2017-En-40885,"It's easy to #fall #asleep in class, but hard to in bed. #True  #whileyouweresleeping #insomnia #TeamFollowBack #RockTheReTweet",sadness,0: no sadness can be inferred,0
223,2018-En-04082,"Leviticus 19:14\nYou shall not curse the #deaf or put a stumbling #block before the #blind, but you shall #fear your #God: I am the [1/2]",sadness,0: no sadness can be inferred,0
667,2017-En-41468,@_MrAminuddin @ejainews @_AlifH @AhmadFuadAdnan dont play with this master noob u want to win.. #serious,sadness,0: no sadness can be inferred,0
260,2018-En-01603,Russia story will infuriate Trump today. Media otherwise would be giving him tongue bath for fall of ISIS in Mosul + al-Baghdadi death.,sadness,1: low amount of sadness can be inferred,1
851,2017-En-40964,One point: DSP claims YTers lost half their viewership in 2012 if they weren't using direct capture. That's when the search changes happened,sadness,0: no sadness can be inferred,0
1187,2017-En-40164,@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind #unhappy,sadness,2: moderate amount of sadness can be inferred,1
71,2017-En-40524,“The immense importance of football is sometimes scary. When you don’t win you are responsible for so many unhappy people.” - Arsene Wenger,sadness,0: no sadness can be inferred,0
556,2017-En-41198,Bojack Horseman: the saddest show ever written?? #depression #season1,sadness,3: high amount of sadness can be inferred,2
122,2017-En-40421,"@DxfyingGrxvity - that were rather forlorn, scanning the witches house before resting back on Elphie. 'The Grimmerie is gone.'",sadness,1: low amount of sadness can be inferred,1
113,2018-En-03948,She mad sus hung up on me 😂,sadness,0: no sadness can be inferred,0
888,2017-En-40517,@jenhasonen it is supposed to be #dark and #gritty though,sadness,0: no sadness can be inferred,0
127,2018-En-02445,"If you are going to be a nurse, learn to be a nice patient person, Jesus 🙃 ",sadness,0: no sadness can be inferred,0
1324,2017-En-40002,Feeling worthless as always ,sadness,3: high amount of sadness can be inferred,2
630,2017-En-41031,"Once you've accepted your flaws, no one can use them against you - @GRRMspeaking #quote #mentalhealth #psychology #depression #anxiety",sadness,3: high amount of sadness can be inferred,2
207,2017-En-40114,@TootingCommon stop!!! Don't make me laugh when I'm being sad.,sadness,3: high amount of sadness can be inferred,2
1046,2017-En-40186,"@MoneyJay901 hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there. #sad #ignorant",sadness,2: moderate amount of sadness can be inferred,1
369,2017-En-41512,"@ExaltedChampion - the jest, Kara didn't chuckle, instead her baby blues were narrowed in on Adam like a warning. If his brain /wasn't/ -",sadness,1: low amount of sadness can be inferred,1
1099,2017-En-40396,"Literally had a guy (a some-would-say-successful guy) tell me 'this ship will sail' kay guy, first, you're working with a sub, last, it sunk",sadness,1: low amount of sadness can be inferred,1
688,2017-En-40067,It's interesting the photo of Mono Lisa is crying as well as the whole scene is very depressing #ELE6200,sadness,3: high amount of sadness can be inferred,2
1379,2017-En-21295,Time for some despair #SDR3 #despair #fuckthisanime,sadness,3: high amount of sadness can be inferred,2
221,2018-En-03038,James Clapper 'scary and disturbing'.  #25thAmendmentNow #ImpeachTrump  #terrified #nuclearcodes  #Godhelpus,sadness,2: moderate amount of sadness can be inferred,1
561,2017-En-41340,"Haven't been here a while, been watching lots of TV. Conclusion #whataloadoftat...if I wasn't depressed before afternoon TV is #grim",sadness,3: high amount of sadness can be inferred,2
1523,2017-En-41319,@NikhilTikare i like cold gloomy weather,sadness,0: no sadness can be inferred,0
807,2017-En-40241,i miss the guy who always make me sulk,sadness,2: moderate amount of sadness can be inferred,1
1016,2017-En-40299,Gaaaaaaaad! Should have stayed in London!,sadness,2: moderate amount of sadness can be inferred,1
1174,2017-En-41325,@Skepta make sure you's Young breadrins sling us a quick vote #murky #skeng #votage,sadness,0: no sadness can be inferred,0
1393,2017-En-40136,From My head to think it was better but obviously it's not #relapse #sadness #sickness #madness #misunderstanding,sadness,3: high amount of sadness can be inferred,2
1197,2017-En-40040,After spending £450 @Debenhams I was offered a £5 voucher. I asked if I could spend it at weekend? Was told 'no valid today only' #unhappy,sadness,3: high amount of sadness can be inferred,2
811,2017-En-40626,ordered my vacation bathing suits. one less thing to fret about.,sadness,0: no sadness can be inferred,0
854,2017-En-41438,"@SiWheeler78 never a dull moment, hope you had a gd trip down",sadness,0: no sadness can be inferred,0
371,2017-En-40055,Too many gloomy days,sadness,3: high amount of sadness can be inferred,2
1289,2017-En-40680,@pxrfectpeach it's got her little pout,sadness,0: no sadness can be inferred,0
742,2017-En-41076,"@John_Hanna he has become so dreary, also, yes...",sadness,1: low amount of sadness can be inferred,1
1036,2017-En-40982,it's sad when you talk to someone about ya past n how it fucked you up and then they do the same thing like people really don't have hearts,sadness,3: high amount of sadness can be inferred,2
886,2017-En-21304,"@NikeSupport ok, thats it. After 2 weeks not being able to sign in, time to move on &amp; find another app. I will strongly discourage NikeRun",sadness,1: low amount of sadness can be inferred,1
924,2017-En-21422,@rihaBabyJ Aw no problem. I just felt like speaking because I felt the same before and I want you to overcome it and not be discouraged. :),sadness,0: no sadness can be inferred,0
62,2017-En-41323,Honestly don't know why I'm so unhappy most of the time. I just want it all to stop :(   #itnevergoes,sadness,3: high amount of sadness can be inferred,2
1294,2017-En-41491,"I know I've painted quite a grim picture of your chances. But if you simply stand here, we will both surely die.",sadness,3: high amount of sadness can be inferred,2
1377,2017-En-41062,Rooney = whipping boy. #mufc #sad,sadness,3: high amount of sadness can be inferred,2
1399,2017-En-41250,"The animals, the animals\nTrap trap trap till the cage is full\nThe cage is full, stay awake\nIn the dark, count mistakes",sadness,0: no sadness can be inferred,0
181,2018-En-03875,Everything I order online just comes looking like a piece of shit 😤,sadness,3: high amount of sadness can be inferred,2
1492,2017-En-40929,At least I don't have a guy trying to discourage me anymore in what I want to do he will never become anything worth contributing to society,sadness,0: no sadness can be inferred,0
1329,2017-En-40848,It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,sadness,0: no sadness can be inferred,0
256,2017-En-40502,Sister: (Canadian player does something shady.) Jonathan Toews is frowning and he doesn't know why. #WorldCupOfHockey,sadness,0: no sadness can be inferred,0
1155,2017-En-40146,With loyal heart is concerned. #somber,sadness,3: high amount of sadness can be inferred,2
1100,2017-En-40042,depress 😭,sadness,3: high amount of sadness can be inferred,2
1211,2017-En-40895,"My nephews n cousins are nowhere near bad guys, but they could be killed @ any moment by a cop that thought they were bc of their color #sad",sadness,3: high amount of sadness can be inferred,2
127,2017-En-41332,@strong_bread dude we same fukc i lost my spectacles this morning.......,sadness,1: low amount of sadness can be inferred,1
1146,2017-En-41252,"@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",sadness,3: high amount of sadness can be inferred,2
950,2017-En-40899,Back in the big time after selection last night. Absolutely buzzing. Bring on the roaches #SG16 #kickittomehigh #nswgaa #blues #statevstate,sadness,0: no sadness can be inferred,0
355,2018-En-01101,Tonight's run.... #restless,sadness,2: moderate amount of sadness can be inferred,1
265,2017-En-40783,@SilkInSide @TommyJoeRatliff that's so pretty! I love the sky in the background and the purple highlights with the dull colors is great,sadness,0: no sadness can be inferred,0
1008,2017-En-40470,Shoutout to the drunk man on the bus who pissed in a bottle and on the seats ,sadness,1: low amount of sadness can be inferred,1
908,2017-En-40339,a good shorty has so much to offer &amp; it's sad that some of you niggas don't even see it when she right in front of your face and too late,sadness,1: low amount of sadness can be inferred,1
1136,2017-En-41423,I'm looking for a good promoter #rock #blues,sadness,0: no sadness can be inferred,0
664,2017-En-40095,so lost i'm faded,sadness,3: high amount of sadness can be inferred,2
1083,2017-En-40874,I love having such a big family. There's never a dull moment in my house 😂,sadness,0: no sadness can be inferred,0
200,2017-En-40475,@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime ,sadness,0: no sadness can be inferred,0
1173,2017-En-40202,I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,sadness,2: moderate amount of sadness can be inferred,1
75,2017-En-41407,Very depressing seeing my whole fam packing to go on holiday tomorrow and I'm just staying here 🙃,sadness,3: high amount of sadness can be inferred,2
621,2017-En-40556,#ThankYouCGI - Do not grow weary in doing good. #CGI2016,sadness,0: no sadness can be inferred,0
296,2018-En-00689,That moment when you look back and realise you've been a #selfish #horrible #judgemental person. #FeelingAshamed,sadness,3: high amount of sadness can be inferred,2
871,2017-En-41298,Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned. #pout #AdultingIsTheWorst,sadness,0: no sadness can be inferred,0
983,2017-En-40955,*Sigh* #depression #saddness #afterellen #shitsucks,sadness,3: high amount of sadness can be inferred,2
1071,2017-En-40781,@VivienLloyd Thank you so much! Just home - stunned but so happy. Don't think it has sunk in yet! Wow.,sadness,0: no sadness can be inferred,0
480,2017-En-40415,@WYSdaily I'm confident they will NEVER experience our successes of last 50yrs. Best they can hope for is to be another Bournemouth ,sadness,1: low amount of sadness can be inferred,1
452,2017-En-40135,MY CAR IS DENTED FROM THE HAIL sad,sadness,3: high amount of sadness can be inferred,2
154,2017-En-41452,Seeing an old coworker and his wife mourn the loss of their 23 year old daughter was one of the saddest things I've ever seen 😢,sadness,3: high amount of sadness can be inferred,2
858,2017-En-40010,Honestly depression is kicking my ass lately.. 😔,sadness,3: high amount of sadness can be inferred,2
676,2017-En-40507,@LidlUK Just bought a pack of two medallion beef steaks. Got home. Cooked them. One steak is 100% pork. I had one unhappy mother. 🐮🐷,sadness,0: no sadness can be inferred,0
28,2017-En-41087,"Being at the airport is so depressing.. watching all the loved up couples and cute people coming off holiday,too cute..hurry up November ✈️",sadness,2: moderate amount of sadness can be inferred,1
1303,2017-En-41130,"And btw... I really did stay in bed all day today. #depression I hate being lied to, fuck liars. -w-",sadness,3: high amount of sadness can be inferred,2
261,2017-En-41165,@OniLink86 @DarekMeridian lmao awe...  #sad,sadness,1: low amount of sadness can be inferred,1
488,2017-En-40234,Awareness of time is awareness of time lost. #awareness #time #lost,sadness,2: moderate amount of sadness can be inferred,1
549,2017-En-40012,"After 3 idk why I start feeling so depress, sad and lonely.",sadness,3: high amount of sadness can be inferred,2
1144,2017-En-41030,Anybody know a good place to book a show in #Montreal on short but not super-short notice? #punkrock #postpunk #blues,sadness,0: no sadness can be inferred,0
1337,2017-En-41494,@OzelleM man imagine # Ultra is promoting carnival. I think u need to be the chairperson #serious. Cause am hearing nothing,sadness,2: moderate amount of sadness can be inferred,1
739,2017-En-40059,Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops 👎🏾👎🏽👎🏻🍂🍁,sadness,3: high amount of sadness can be inferred,2
932,2017-En-40966,"No pessimist ever discovered the secret of the stars,or sailed to an uncharted land,or opened a new doorway for the human spirit.-H.Keller",sadness,0: no sadness can be inferred,0
316,2017-En-20052,"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",sadness,3: high amount of sadness can be inferred,2
51,2018-En-01484,So disappointed in E! portrayal of Kylie Jenner! Makes her look so fake &amp; filthy rich @ every turn #disappointment @enews #LifeofKylie 🤢😒,sadness,2: moderate amount of sadness can be inferred,1
1425,2017-En-20652,@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver',sadness,1: low amount of sadness can be inferred,1
1237,2017-En-21717,@Cassena13 I know if I wasn't an optimist I would despair.,sadness,2: moderate amount of sadness can be inferred,1
70,2017-En-40026,What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing,sadness,3: high amount of sadness can be inferred,2
849,2017-En-41413,"*wants body to look a certain way*\n*eats 3 cookies, mac n cheese, kitchen sink, and small neighbor child*",sadness,0: no sadness can be inferred,0
539,2017-En-40767,I added Paul Walker on Xbox but he just spends all of his time on the dashboard.  #humor #funny,sadness,0: no sadness can be inferred,0
156,2017-En-41094,me: tis a dreary day today\nfriend: he's a teenager not Shakespeare's reincarnation \n\nim such a dumbass lol,sadness,1: low amount of sadness can be inferred,1
163,2018-En-04314,Please stop ruining my depressing memes with your positivity and optimism,sadness,1: low amount of sadness can be inferred,1
1247,2017-En-40064,We have left #Maine. #sadness,sadness,3: high amount of sadness can be inferred,2
647,2017-En-41128,"Dying is a very dull, dreary affair. And my advice to you is to have nothing whatever to do with it. ― W. Somerset Maughm",sadness,2: moderate amount of sadness can be inferred,1
1040,2017-En-40077,@CTV_PowerPlay @lraitt Horrid disease! My maternal grandmother and each of her sisters suffered from this affliction. It's hard on all.,sadness,3: high amount of sadness can be inferred,2
93,2017-En-41402,Never let the sadness of your past ruin your future,sadness,0: no sadness can be inferred,0
1422,2017-En-40394,"1Pet 4:7  But the end of all things is at hand: be ye therefore #sober, and #watch unto prayer",sadness,1: low amount of sadness can be inferred,1
72,2018-En-04198,@Zineeta_R @RusEmbUSA @mfa_russia The hatred and fear many russians have for anything non-russian is just sad.,sadness,3: high amount of sadness can be inferred,2
729,2017-En-40450,When you're on a train as its pitch black outside and you have no idea where you are... #travel #whereami #lost #adventure,sadness,1: low amount of sadness can be inferred,1
532,2017-En-41142,FYI y'all can't mourn or celebrate shawty lo cause y'all ain't played his music since 08',sadness,1: low amount of sadness can be inferred,1
157,2018-En-00581,i excepted the eclipse to make me believe in an omniscience force #dissapointed,sadness,1: low amount of sadness can be inferred,1
719,2017-En-21947,"Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain #anxiety #depression #pain",sadness,3: high amount of sadness can be inferred,2
197,2018-En-03810,Was a huge fan of @Ryanair but last few flights have been horrific. #rude #poorservice #nostock etc etc etc #dissapointed,sadness,3: high amount of sadness can be inferred,2
22,2017-En-40703,"@petercoffin So safe blues are ok. Are reds ok as well? Obviously, battleground states would not.",sadness,0: no sadness can be inferred,0
368,2017-En-40061,"My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP",sadness,3: high amount of sadness can be inferred,2
641,2017-En-40413,i stopped watching gotham cause they dropped off tabitha and barb's relationship and made her pine after the main,sadness,1: low amount of sadness can be inferred,1
239,2018-En-01408,@3lectric5heep Well that must sting doesn't it @CNN ?,sadness,0: no sadness can be inferred,0
132,2017-En-40237,@TalesofanAlfa @David_Milloy \nI like your thinking...but sadly no - that's the shed 😢,sadness,2: moderate amount of sadness can be inferred,1
1103,2017-En-41084,Who need #beats ? #instrumentals #serious #artists #only 🚨,sadness,0: no sadness can be inferred,0
838,2017-En-41237,i really want to read this fic i found but it's #serious and this room is full of #memes,sadness,0: no sadness can be inferred,0
161,2018-En-01501,#LouiseLinton - haters gonna hate keep on being your#fabulous self they'll keep on being  #miserable,sadness,2: moderate amount of sadness can be inferred,1
1386,2017-En-40854,"340:892 All with weary task fordone.\nNow the wasted brands do glow,\nWhilst the scritch-owl, scritching loud,\n#AMNDBots",sadness,1: low amount of sadness can be inferred,1
685,2017-En-40956,@rosalilium I'm wearing all black tomorrow to mourn. 😭💔,sadness,3: high amount of sadness can be inferred,2
20,2018-En-00438,Do people notice that only saying 'You're so pretty' when I have make-up on. Is offense! \n&amp; I take note that they never say it when I don't.,sadness,0: no sadness can be inferred,0
1444,2017-En-41264,People are trying too hard to hate on Cam Newton without understanding his position #sad,sadness,2: moderate amount of sadness can be inferred,1
1041,2017-En-41392,*Sigh*  #saddness #afterellen #shitsucks,sadness,3: high amount of sadness can be inferred,2
911,2017-En-41029,"we never taste happiness in perfection, our most fortunate successes are mixed with sadness. #success  #perfection #fortunate #mixed",sadness,1: low amount of sadness can be inferred,1
340,2017-En-40147,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging. #unhappy #scam,sadness,3: high amount of sadness can be inferred,2
273,2017-En-41053,The new @chaseandstatus song is mega 💥 reminds me of @SundownUK #blues,sadness,0: no sadness can be inferred,0
974,2017-En-40593,I told my chiropractor 'I'm here for a good time not a long time' when he questioned my habits and yet again I have unnerved a doctor,sadness,0: no sadness can be inferred,0
326,2018-En-00208,I’m so glad I’m not like some of the sad people online who gossip and bully others for their entertainment because they have no life.,sadness,1: low amount of sadness can be inferred,1
624,2017-En-40098,Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness,sadness,3: high amount of sadness can be inferred,2
70,2018-En-03352,Selling nudes pics and vids kik me to buy! Dirty_becca69\n\n#kik #kikme #kikusernames #snap #snapchat #findom #nudes #slut #kiktrade #horny,sadness,0: no sadness can be inferred,0
330,2017-En-41055,The weather changed from sunny and bright to gloomy just in time to match my afternoon mood. 😒,sadness,3: high amount of sadness can be inferred,2
699,2017-En-40995,@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!,sadness,1: low amount of sadness can be inferred,1
85,2017-En-40651,"When tears r inappropriate: 'This day is holy to our Lord. Do not grieve, for the joy of the LORD is your strength.' Nehemiah 8:10 NIV #joy",sadness,0: no sadness can be inferred,0
283,2018-En-03162,"It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland",sadness,0: no sadness can be inferred,0
236,2018-En-01284,@BrettKeeble I guess it never. @smartassunit #worry,sadness,0: no sadness can be inferred,0
1317,2017-En-40073,Groom gloom.,sadness,3: high amount of sadness can be inferred,2
831,2017-En-41517,"@SussexMistress @sarahb45 @MsEvilyne @MissJessicaWood I'd be perched on that, unfortunately wrapped in heavy chains! #sink...",sadness,1: low amount of sadness can be inferred,1
726,2017-En-40173,"#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, #sad",sadness,2: moderate amount of sadness can be inferred,1
133,2018-En-00794,@620wtmj Seriously @620wtmj !? This is news to you?!? #sad \n\nWhy not focus on important issues??,sadness,2: moderate amount of sadness can be inferred,1
299,2017-En-40263,And there is despair underneath each and every action \nEach and every attempt to pierce the armour of numbness ' -Mgla,sadness,2: moderate amount of sadness can be inferred,1
249,2017-En-40822,My life went from happy to unhappy..,sadness,3: high amount of sadness can be inferred,2
