,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
51,2018-En-03798,"@angrydwarf9 @carolinesandall It ruins my frigging night each night at 9pm. Mrs loves it, i've been early to bed for a month. #dreadful",fear,2: moderate amount of fear can be inferred,2
1710,2017-En-21790,@HotRodArchie @qadkins79 I have noticed since #HillarysHeath has become an issue the left is going full panic mode. #NTAC,fear,2: moderate amount of fear can be inferred,2
1537,2017-En-20171,@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.,fear,2: moderate amount of fear can be inferred,2
1834,2017-En-20210,I hate having ideas but being too afraid to share them 😔,fear,2: moderate amount of fear can be inferred,2
954,2017-En-20072,"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit #horror",fear,3: high amount of fear can be inferred,3
2118,2017-En-21541,"Shriekfest is lining up VOLUNTEERS! Oct 6-9, only serious inquiries please!  shriekfest@aol.com  see free films!  #horror",fear,0: no fear can be inferred,0
15,2017-En-22248,I'm shaking now.,fear,3: high amount of fear can be inferred,3
933,2017-En-21426,I seriously miss #ahsaftershow with @trixiemattel and @TheRealEdHansen. I need to talk about the mamasitas and the hunks of horror.,fear,0: no fear can be inferred,0
1633,2017-En-20262,"jimmy_dore: RaisingTheBoss we've already lost our country and our government to oligarchs, but their fear tactics still work it appears.",fear,1: low amount of fear can be inferred,1
2192,2017-En-21063,@lindseylouwho_ be nice if the Texans could hold onto the ball to give fuller and Hopkins a chance!!!  #TNF,fear,0: no fear can be inferred,0
923,2017-En-20033,Just want Saturday to be over but then again I want to do good #LSAT #nervous,fear,3: high amount of fear can be inferred,3
418,2017-En-20050,Today was horrible and it was only half a day,fear,3: high amount of fear can be inferred,3
65,2017-En-20319,"However the agent was inauthentic, my sister still loves me, &amp; I'm still alive. So I guess it wasn't that bad. #socialanxiety #anxiety",fear,1: low amount of fear can be inferred,1
1745,2017-En-21458,I've realized my anxiety is at an all time high when I'm in my office. I feel prisoned here and I pick up on bad energy.,fear,3: high amount of fear can be inferred,3
779,2017-En-22130,@YahooFantasy update may have been the worst mistake of my day #horrible,fear,2: moderate amount of fear can be inferred,2
509,2017-En-20281,"Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is #shocking",fear,1: low amount of fear can be inferred,1
549,2017-En-20231,bout to read this article 'Moving the Conversation Forward: Homosexuality &amp; Christianity' from someone in the foursquare church #nervous,fear,1: low amount of fear can be inferred,1
587,2017-En-20236,#beyond naming &amp; shaming ; lies a vast space b/w #sanctions &amp; #terror state...v *wait til Others #impose it...&amp; do not hv COURAGE #ourselves,fear,1: low amount of fear can be inferred,1
329,2017-En-21879,Val having a nervous breakdown #floss #GBBO,fear,2: moderate amount of fear can be inferred,2
866,2017-En-20860,"@DSDambuster just finally started #homefronttherevolution, what did you all do the story and gameplay???  #wasteofmoney",fear,0: no fear can be inferred,0
462,2017-En-20082,r U scared to present in front of the class? severe anxiety... whats That r u sad sometimes?? go get ur depression checked out IMEDIATELY!!!,fear,3: high amount of fear can be inferred,3
1047,2017-En-21393,"I wish I could fast forward 3 months from now, I'll know then where I'm at with my girl, my classes, and basketball. Rn I have pure #anxiety",fear,2: moderate amount of fear can be inferred,2
284,2017-En-20896,@lindseylouwho_ be nice if the Texans could hold onto the ball to give fuller and Hopkins a chance!!! #awful #TNF,fear,0: no fear can be inferred,0
146,2018-En-02447,"When the lights shut off and it's my turn to settle down, my main concern...",fear,2: moderate amount of fear can be inferred,2
1744,2017-En-20200,@katlute which one....the one where u threaten violence? Or the phedophiliac u support?  Or the constitution violations he proposes?,fear,2: moderate amount of fear can be inferred,2
570,2017-En-22078,Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n#Loneliness #aloneinthecity #fear,fear,2: moderate amount of fear can be inferred,2
860,2017-En-21536,realising you have no conditioner after already shampooing 😓😓 ,fear,0: no fear can be inferred,0
383,2017-En-21606,Ugh.. Why am I not asleep yet. Fml. I think low key I'm afraid I might miss something. #SleeplessNight #sleepy #restless,fear,3: high amount of fear can be inferred,3
637,2017-En-20575,"Missing the 500th test match today , not able to witness it like watching it in India #shy #indvsnz #500thTest @BCCI",fear,0: no fear can be inferred,0
1018,2017-En-21649,@Bridget_Delia @originalaubs omg that's terrible,fear,1: low amount of fear can be inferred,1
654,2017-En-20692,"@GucciShade @KellyannePolls @ABC So?  Who cares?  Who cares about tax forms, too.  I believe terrorism and jobs are what is important.",fear,0: no fear can be inferred,0
808,2017-En-20079,I'm getting so nervous for my first anatomy exam 😩,fear,3: high amount of fear can be inferred,3
198,2018-En-04213,How shit and depressing is this weather wish I can travel the world for a living,fear,2: moderate amount of fear can be inferred,2
1991,2017-En-20015,I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me ,fear,3: high amount of fear can be inferred,3
60,2017-En-20373,Saga: When all of your devices and teles fail just in time for bake off  #gbbo,fear,1: low amount of fear can be inferred,1
452,2017-En-20320,@carlybigelow13 first you take the room now you wanna beat me up #bully,fear,1: low amount of fear can be inferred,1
1070,2017-En-20087,Can't believe how nervous I feel tonight...who feels the same #mufc,fear,3: high amount of fear can be inferred,3
1073,2017-En-22144,I'm so nervous,fear,3: high amount of fear can be inferred,3
1322,2017-En-21654,"@DatelineNBC this is a sight, sound &amp; smell to behold in person--still gives me the creeps to think about. ",fear,2: moderate amount of fear can be inferred,2
1233,2017-En-20182,&gt;.&lt; too much clutter in my brain with recent little changes that I haven't yet processed... #dying #panic #IveBeenBusierWhyAmIOverwhelmed :(,fear,2: moderate amount of fear can be inferred,2
548,2017-En-20253,this Mac update has me some kind of apprehensive.,fear,1: low amount of fear can be inferred,1
1794,2017-En-20115,@excalibater I'm very shy irl and lately I feel like everyone's doing their own thing and I don't fit in anywhere and I feel lonely :(,fear,2: moderate amount of fear can be inferred,2
2142,2017-En-20148,I absolutely love having an anxiety attack halfway through a family meal,fear,2: moderate amount of fear can be inferred,2
1210,2017-En-21782,"This white lady just told me that I incite suspicion based on how I look, being 6'4', having tatoos, athletic build and wear a durag. WOW!",fear,0: no fear can be inferred,0
592,2017-En-21759,@nytimes I'm trying to imagine the first response of a President Trump to an act of terror. The thought itself terrorizes me.,fear,3: high amount of fear can be inferred,3
2010,2017-En-21585,So nervous I could puke,fear,3: high amount of fear can be inferred,3
1462,2017-En-20159,"@AllyTheRipper @ProoF @SpaitoGaming every horror movie that frightened me as a child i.e. 'IT', Halloween movies all of them, nightmare on..",fear,2: moderate amount of fear can be inferred,2
529,2017-En-21442,“Worry is a down payment on a problem you may never have'.  Joyce Meyer. #motivation #leadership ,fear,0: no fear can be inferred,0
591,2017-En-20370,Ugh I want to punch a wall every time I have to use @windows 10. Literally the worst product ever made #windows10  #killme,fear,1: low amount of fear can be inferred,1
1254,2017-En-20275,@SherriEShepherd because #whitepeople are #afraid of large #blackmen?,fear,1: low amount of fear can be inferred,1
828,2017-En-20226,World is facing #terrorism. Where #Terrorist's school exist? Who are terrorist's teacher &amp; father. Which is terrorist's motherland?,fear,1: low amount of fear can be inferred,1
498,2017-En-21748,@wowairsupport it world be great if the live support was actually helpful #nightmare,fear,1: low amount of fear can be inferred,1
2,2018-En-02662,@jihnwi u literally name us a word close to prostitutes ok oomf...... 😰,fear,0: no fear can be inferred,0
11,2017-En-22135,@CharlieEblacker hate being shy 😩,fear,1: low amount of fear can be inferred,1
2229,2017-En-20041,"i might have #hysteria ,i don't kno if it's just #anxiety or both,..need a diagnosis cuz somethin' is messed up,need ert bu i nvr come out",fear,3: high amount of fear can be inferred,3
2106,2017-En-21362,When you just want all the attention #cantsleep #nervous,fear,2: moderate amount of fear can be inferred,2
1796,2017-En-20338,when people hit on me i try to shake them off by talking about how i hide from communism,fear,1: low amount of fear can be inferred,1
1618,2017-En-20039,@RosieBalls I fear for the future of mankind,fear,3: high amount of fear can be inferred,3
589,2017-En-21190,Watching It Follows.  This is a super freaky movie.  #scary,fear,2: moderate amount of fear can be inferred,2
516,2017-En-22080,Trust me to lose my wallet and have to call Lifeguard &amp; Swimmers social early as VC @YSJFC ,fear,0: no fear can be inferred,0
1544,2017-En-21550,This is awful,fear,2: moderate amount of fear can be inferred,2
877,2017-En-21631,@FoxNews also we are having riots and protests at alarming rate every time there's a person of color that is shot.,fear,1: low amount of fear can be inferred,1
1468,2017-En-20081,mm nothing like a good old fashioned panic induced cry on your living room floor,fear,3: high amount of fear can be inferred,3
643,2017-En-20367,@BaileyDemented @hsmitty3 ill kill u if u bully her 😤😤😤,fear,1: low amount of fear can be inferred,1
17,2018-En-00081,@JuliaHB1 @talkRADIO culture &amp; language already protected.\n£ on 'promoting Welsh' better spent on Tourism or our dreadful schools ed record,fear,1: low amount of fear can be inferred,1
1117,2017-En-20068,im literally shaking bc im nervous and bc its fucking cold oh how i love life,fear,3: high amount of fear can be inferred,3
248,2018-En-03318,i can already tell molly tryna be fake above shit so she gon deny dude one time then jump on his offer in the end. #insecure,fear,1: low amount of fear can be inferred,1
2196,2017-En-20162,onus is on Pakistan' : MEAIndia after #Uri #terror attack,fear,2: moderate amount of fear can be inferred,2
2025,2017-En-20294,@williamcontrol just preordered The Pale EP... Would have paid for the phone call... But I would have freaked out and not said anything #shy,fear,1: low amount of fear can be inferred,1
747,2017-En-20094, ughh I just want all this to be over.. it's like a nightmare! can we all just get along?,fear,3: high amount of fear can be inferred,3
649,2017-En-22062,Was actually just watching AHS while half covering my eyes #scared #Roanoke  #AHSRoanoke,fear,3: high amount of fear can be inferred,3
1159,2017-En-21927,@loismackey_ @Dory nah way that's horrible,fear,0: no fear can be inferred,0
2143,2017-En-20895,Howl at the moon with @HorrorSociety at @FatCatChicago next Wednesday the 28th for a FREE double feature of SILVER BULLET and CURSED ,fear,0: no fear can be inferred,0
1445,2017-En-20120,Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life 🙄 #nightmare,fear,2: moderate amount of fear can be inferred,2
311,2018-En-02056,Why a #terrorist was given a funeral in #Kashmir as per his #religion? 1000s came in. So #terror does have a religion. #ReligionOfPeace,fear,1: low amount of fear can be inferred,1
966,2017-En-21170,The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? ,fear,1: low amount of fear can be inferred,1
976,2017-En-22194,Yellow Submarine is under tremendous pressure from Los Blancos. #WaveAfterWave #RMAVIL,fear,0: no fear can be inferred,0
322,2018-En-02191,#Muslims  kill people then terrorism has no religion . If a #hindu kills a muslim then we are hindu terrorist #hypocrites ,fear,2: moderate amount of fear can be inferred,2
2026,2017-En-22081,@mcrichard awe that's adorable,fear,0: no fear can be inferred,0
1077,2017-En-20191,Dates in the glove box' is pure panic excuse #GBBO,fear,2: moderate amount of fear can be inferred,2
95,2017-En-21296,Time for some despair #SDR3  #fuckthisanime,fear,2: moderate amount of fear can be inferred,2
2059,2017-En-21796,@AaronRodgers12 You will tell people not to  panic. But let see when was the last year the best QB in the NFL got his team in the SB???,fear,0: no fear can be inferred,0
569,2017-En-20196,"I'm used to bears, I'm used to coyotes, I love the idea of wolves. But this is hard. I don't want to be fearful of the meadow or the pines.",fear,2: moderate amount of fear can be inferred,2
751,2017-En-21784,-normal people scare me*,fear,2: moderate amount of fear can be inferred,2
166,2017-En-21881,I need to learn to be in one place at one time and try not to worry about everything all at once,fear,1: low amount of fear can be inferred,1
70,2017-En-20049,White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis.,fear,3: high amount of fear can be inferred,3
2155,2017-En-21932,Another day Another flight 🙈  I swear my last ever @easyjet flight!!!! You take the LOVE out of flying #easyjet #horrific #alwaysdelayed,fear,1: low amount of fear can be inferred,1
756,2017-En-20274,Librarians scare me,fear,1: low amount of fear can be inferred,1
969,2017-En-22059,The #movie Vantage Point makes my palms sweat EVERY time I watch it!!! #nervous 😥😥,fear,3: high amount of fear can be inferred,3
939,2017-En-20071,I am about to be a coward and I feel terrible. But I can't even face this 😭,fear,3: high amount of fear can be inferred,3
1299,2017-En-20244,#India is sponsoring terrorism in #Balochistan. #KulbhushanYadav an Indian spy agent was arrested in Balochistan by Pakistani forces.,fear,1: low amount of fear can be inferred,1
1351,2017-En-20349,#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,fear,1: low amount of fear can be inferred,1
271,2017-En-20037,@officialShaky 'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited,fear,3: high amount of fear can be inferred,3
2044,2017-En-20225,The more I watch this documentary on @Channel4 the more I think @Airbnb is more a #nightmare than dream #dreamornightmare,fear,1: low amount of fear can be inferred,1
2070,2017-En-22082,Last night I had a dream that today was Christmas. I woke up screaming because I wasn't ready. #nightmare,fear,3: high amount of fear can be inferred,3
511,2017-En-20053,@RoseTintMyWorId fucking hell mate absolute nightmare 😓,fear,3: high amount of fear can be inferred,3
1609,2017-En-21657,If I could turn anxiety off--I would. #nooneunderstands #anxiety,fear,3: high amount of fear can be inferred,3
1478,2017-En-20110,hi my names anxiety and i have shaun,fear,2: moderate amount of fear can be inferred,2
537,2017-En-21511,#Obama #DOJ have destroyed USA!These #CharlotteProtest are acts of #terrorism dating back to #Ferguson Terrorism is how it should be treated,fear,1: low amount of fear can be inferred,1
1878,2017-En-22189,"I feel really nervous, or anxious. Idk. My leg keeps shaking. Hmm",fear,3: high amount of fear can be inferred,3
1599,2017-En-21678,I'm a nervous wreck omg,fear,3: high amount of fear can be inferred,3
2045,2017-En-20088,@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD?  #creepy #EnoughIsEnough,fear,3: high amount of fear can be inferred,3
1059,2017-En-20347,The fact that we have a presidential candidate that speaks the way Trump does is alarming. I thought higher of my peers. #FDT16,fear,1: low amount of fear can be inferred,1
825,2017-En-20288,#NawazSharif confesses that #Pakistan  supports #terror at #unga\n#BurhanWani,fear,1: low amount of fear can be inferred,1
1118,2017-En-21013,@HoustonTexans just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do... #sike #losers ,fear,0: no fear can be inferred,0
1154,2017-En-20483,"@CNN Wait, didn't she get a case of the ass when Donald Trump called it terrorism BEFORE all the facts were in?  I guess it's ok if she does",fear,0: no fear can be inferred,0
364,2018-En-03707,@Rainbow6Game felt guilt from playing this game. #horrible #RainbowSixSiege,fear,1: low amount of fear can be inferred,1
776,2017-En-21565,"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",fear,1: low amount of fear can be inferred,1
522,2017-En-22208,"@DunsScottus @FaithNGuns @buggazing @Patriot_Musket Yep, Owen Garriott told me it was ghastly. None of his peeps ever had it :)",fear,0: no fear can be inferred,0
359,2018-En-04054,Thinking about life this morning and how something is missing. — feeling restless,fear,3: high amount of fear can be inferred,3
81,2017-En-20090,"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone ",fear,3: high amount of fear can be inferred,3
2247,2017-En-22006,"😩😩😩😩 heads melted, very tired but can't sleep. ",fear,2: moderate amount of fear can be inferred,2
652,2017-En-20249,Look at this #massiah of #youngleader\n#Pakistan #massiah of #terrorism,fear,1: low amount of fear can be inferred,1
1571,2017-En-22042,there are magpies gathering around me help I'm going to be swooped ! #terrorism,fear,2: moderate amount of fear can be inferred,2
287,2017-En-20116,How do you ever stop being #afraid of someone that you live with,fear,2: moderate amount of fear can be inferred,2
1786,2017-En-21351,@dish_answers I've contacted @dish @dish_answers #awful #service #whathappenedtocustomerservice,fear,0: no fear can be inferred,0
2235,2017-En-20097,in my dream....They were trying to steal my kidney!!! #nightmare #blackmarket #whydidiwatchthat,fear,2: moderate amount of fear can be inferred,2
925,2017-En-21185,On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror,fear,1: low amount of fear can be inferred,1
34,2017-En-20099,Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful 😖👺🙅,fear,2: moderate amount of fear can be inferred,2
839,2017-En-21264,US you need to band together not apart #nevertrump he promotes hatred and fuels #fear,fear,2: moderate amount of fear can be inferred,2
867,2017-En-20255,Your boy' is having a nightmare @VivaLaSergio,fear,1: low amount of fear can be inferred,1
333,2018-En-02612,#depressed Today was bitter sweet watching all the kids go back to school made me really miss my babies. I'm so broke #backtoschool2017,fear,2: moderate amount of fear can be inferred,2
1660,2017-En-21378,@ibishotelsuk @ibisHotels_FR @ibishotelbr @ibishotel @ibishotelBDG @ibishotel1 to give me my keys back. They aren't for my house! #shocking,fear,1: low amount of fear can be inferred,1
770,2017-En-20421,Now #India is #afraid of #bad .,fear,0: no fear can be inferred,0
1797,2017-En-20026,Breaking out in hives for the first time since college finals. #anxiety sucks,fear,3: high amount of fear can be inferred,3
1620,2017-En-20186,I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 #nightmare,fear,2: moderate amount of fear can be inferred,2
87,2017-En-21193,"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",fear,3: high amount of fear can be inferred,3
679,2017-En-21633,Look at me. Made it through the day without a meltdown. #anxiety,fear,1: low amount of fear can be inferred,1
534,2017-En-21703,I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,fear,0: no fear can be inferred,0
560,2017-En-20193,I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul ,fear,2: moderate amount of fear can be inferred,2
293,2018-En-01537,You take a sharp right and stumble on a slavering phoenix whose see-through negligée and empty eye sockets will haunt your dreams forever.,fear,1: low amount of fear can be inferred,1
1483,2017-En-21855,"@makemytripcare but what I am doing is in my control, #AvoidMMT , you guys are #terrible",fear,0: no fear can be inferred,0
263,2017-En-21589,If you think reason will prevail in this election remember that Hitler was elected by what was then a wholly 'reasonable' society. ,fear,2: moderate amount of fear can be inferred,2
4,2017-En-20022,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,fear,3: high amount of fear can be inferred,3
804,2017-En-20463,so I picked up my phone!!!' #shocking 😳,fear,0: no fear can be inferred,0
12,2018-En-02412,@annakingradio Is that the new studio kit? I'd be terrified of pressing the wrong button and launching something dangerous! 😊,fear,3: high amount of fear can be inferred,3
1181,2017-En-20197,@missmeliss465 @WellWeds @siggyflicker @whispernghope @mcrichard awe I feel so bad being naive ou is the worst,fear,2: moderate amount of fear can be inferred,2
993,2017-En-20322,@jndtech horrible.,fear,1: low amount of fear can be inferred,1
1,2017-En-21816,@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited #afraid,fear,1: low amount of fear can be inferred,1
508,2017-En-22128,"Idk why but this Time around its so hard that it hurts, I already miss them all so much #silly #family #friends #nervous",fear,1: low amount of fear can be inferred,1
19,2018-En-04229,@rachelkennedy84 @callummay @Ned_Donovan @JeyyLowe @jimwaterson @dats Can it do the bell ringing and incense at consecration?,fear,0: no fear can be inferred,0
1564,2017-En-20055,Life long fear of havin a shit and a spider crawls up ya bum,fear,3: high amount of fear can be inferred,3
